end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
1764565200,,,,,,,0.0,0.05,0.0,0.0
1764651600,,,,,,,0.0,0.06,0.0,0.0
1764738000,,,,,,,0.0,0.06,0.0,0.0
1764824400,,,,,,,0.0,0.06,0.0,0.0
1764910800,,,,,,,0.0,0.06,0.0,0.0
1764997200,,,,,,,0.0,0.06,0.0,0.0
1765083600,,,,,,,0.0,0.06,0.0,0.0
1765170000,,,,,,,0.0,0.06,0.0,0.0
1765256400,,,,,,,0.0,0.06,0.0,0.0
1765342800,,,,,,,0.0,0.06,0.0,0.0
1765429200,,,,,,,0.0,0.06,0.0,0.0
1765515600,,,,,,,0.0,0.06,0.0,0.0
1765602000,,,,,,,0.0,0.06,0.0,0.0
1765688400,,,,,,,0.0,0.06,0.0,0.0
1765774800,,,,,,,0.0,0.06,0.0,0.0
1765861200,,,,,,,0.0,0.06,0.0,0.0
1765947600,,,,,,,0.0,0.06,0.0,0.0
1766034000,,,,,,,0.0,0.05,0.0,0.0
1766120400,,,,,,,0.0,0.05,0.0,0.0
1766206800,,,,,,,0.0,0.05,0.0,0.0
1766293200,,,,,,,0.0,0.05,0.0,0.0
1766379600,,,,,,,0.0,0.05,0.0,0.0
1766466000,,,,,,,0.0,0.05,0.0,0.0
1766552400,,,,,,,0.0,0.05,0.0,0.0
1766638800,,,,,,,0.0,0.05,0.0,0.0
1766725200,,,,,,,0.0,0.05,0.0,0.0
1766811600,,,,,,,0.0,0.05,0.0,0.0
1766898000,,,,,,,0.0,0.05,0.0,0.0
1766984400,,,,,,,0.0,0.05,0.0,0.0
1767070800,,,,,,,0.0,0.05,0.0,0.0
1767157200,,,,,,,0.0,0.05,0.0,0.0
1767243600,,,,,,,0.0,0.05,0.0,0.0
1767330000,,,,,,,0.0,0.05,0.0,0.0
1767416400,,,,,,,0.0,0.05,0.0,0.0
1767502800,,,,,,,0.0,0.05,0.0,0.0
1767589200,,,,,,,0.0,0.05,0.0,0.0
1767675600,,,,,,,0.0,0.05,0.0,0.0
1767762000,,,,,,,0.0,0.05,0.0,0.0
1767848400,,,,,,,0.0,0.05,0.0,0.0
1767934800,0.05,0.05,0.05,0.05,0.05,,0.0,0.06,3.0,3.0
1768021200,,,,,,0.05,0.0,0.06,0.0,3.0
1768107600,,,,,,0.05,0.0,0.06,0.0,3.0
1768194000,,,,,,0.05,0.0,0.06,0.0,3.0
1768280400,,,,,,0.05,0.0,0.06,0.0,3.0
1768366800,,,,,,0.05,0.0,0.06,0.0,3.0
1768453200,,,,,,0.05,0.0,0.06,0.0,3.0
1768539600,,,,,,0.05,0.0,0.06,0.0,3.0
1768626000,,,,,,0.05,0.0,0.06,0.0,3.0
1768712400,,,,,,0.05,0.0,0.06,0.0,3.0
1768798800,,,,,,0.05,0.0,0.06,0.0,3.0
